Dataset Length Time sMAPE Euclidean diff_Euclidean DTW diff_DTW DTW_reconstructed diff_DTW_reconstructed Euclidean_reconstructed diff_Euclidean_reconstructed
0 462 114.68085980415344 199.80167776943705 4.005261782192316 4.9732242487398395 16.042121943890372 24.643975029200163 10.565439136102222 0.511841067961908 35.57518248255756 43.90945299690728
1 462 103.33512210845947 198.88065986493945 5.875576169176341 8.487481364766735 34.5223953197929 72.03454085010631 33.565044064716936 4.272099133043602 33.34973868582988 43.43230728300285
2 462 95.20061182975769 199.7132909095063 7.606757141756407 9.95522744374955 57.862754213662086 99.10461460160835 18.27949712222677 1.331509880698247 30.93386569385313 37.58549561132355
3 462 159.7668948173523 198.04046796685262 5.602936573580778 5.6066161482587145 31.392898247569107 31.42996769778662 21.38478682138217 0.8356172139383382 30.672918812147756 45.59141998684698
4 462 118.16694402694702 165.49636933738594 6.940848882121258 10.160298447544823 48.175383204443925 103.22830262862666 32.441332709377846 0.9522575892422155 31.4514590906719 42.36757286940257
5 462 60.47427201271057 191.00090572635773 8.866906392471172 10.200610966748824 78.6220289728461 104.0264973427408 6.610511866570704 0.507118644536885 30.154114859810544 39.77755953391952
6 462 94.52667498588562 182.98912619061284 7.607245117445361 11.379912377176671 57.87017827689631 129.5007730588446 101.40027882665972 13.14966915608908 30.80214799125858 41.7817203268716
7 462 217.45068311691284 198.5151471957617 6.149251665725171 8.49284543190183 37.8132960484238 72.11131715738449 30.957825926179982 0.585131139653377 32.35283877225858 46.64630513585293
8 462 77.23345303535461 181.08298254415007 7.34425995641499 10.56872740445332 53.938154307400715 111.69762033494492 71.7185148495061 0.6898353630771946 30.86764667394282 44.49969905771668
9 462 69.92233896255493 197.47426919570108 7.030689143070141 8.340233358447277 49.430589826484365 69.5580679558534 19.71081025178147 0.44907902494654195 29.08367931783571 42.28096805137594
10 462 69.04164719581604 199.6741650678248 6.516419194993627 9.511713888277358 42.46371912488139 90.46451557092578 34.51089398013387 0.5205813383873552 31.20804696830618 41.3888406933654
11 462 65.18869113922119 166.645869519566 9.12684958518178 11.483765883741984 63.52322378726237 86.69303947417552 33.31061907781912 0.6620136544141464 31.299342071169185 43.26623468509059
12 462 74.28297591209412 199.39381777813531 7.587867908839181 10.690360225317304 57.57573940199145 114.28279905232465 13.066492462126476 0.36522736506517345 28.795791656310747 38.85745895342283
13 462 73.40709018707275 199.97095807003765 3.4404904459833485 4.3237241608449795 11.836974508902701 18.675842535458244 31.482415837821627 0.2668732790875707 30.57214763936434 41.73832423018857
14 462 60.17703199386597 118.46246976805348 6.514587265169361 9.394135940899554 42.439847235506846 88.24978999337573 9.035010498481508 0.07574205617632983 33.56372951786744 42.286633976788956
15 462 135.59169220924377 184.78282319186897 7.883884813623339 10.97284642872231 62.155639754480724 120.39763371444562 20.09730148650489 1.1574239077298634 30.730944810324235 41.218564733681745
16 462 174.47288012504578 199.73539487509126 5.311361819108747 7.34635656532912 28.210564373486182 53.96366422124586 75.93909250097717 0.39466537345707575 27.340092846047334 36.92520373958169
17 462 92.75375294685364 200.0 1.7460999910205923 3.2004932190527305e-05 3.0488651786421133 1.0243156845202499e-09 9.497666863209648 0.179322935328692 35.973811430564375 42.90024674115678
18 462 194.86163115501404 199.3025260838446 5.369208543323367 6.0196073140588515 28.828400381696635 36.23552276289914 25.11605632280013 28.552111241955394 29.601416081393353 39.86775750579852
19 462 150.30139017105103 117.82997888465927 6.075493613548653 8.0673674524744 36.911622648270466 64.94768446568217 57.99478070316699 1.524594545596729 31.336658133623427 40.48291186667173
