Dataset Length Time sMAPE Euclidean diff_Euclidean DTW diff_DTW DTW_reconstructed diff_DTW_reconstructed Euclidean_reconstructed diff_Euclidean_reconstructed
0 269 260.54451513290405 200.0 10.244876275495784 0.8126670003908675 104.95748990021634 0.6136573418937022 4.1962324638594675 2.262488068098925 17.92793102273937 19.86454997038435
1 269 100.30501103401184 200.0 7.884934962041927 0.8004457541730892 62.17219935563113 0.5607543666431798 2.3074634464133257 2.7986057831671722 12.627026730468401 7.583228783008017
2 269 140.48833584785461 142.2159339013065 6.568854272955249 2.763305972338906 42.54777972336335 7.551005235806292 2.8345108211658703 1.855823707811704 20.0094113491776 12.404311854397518
3 269 281.8843951225281 112.65257227586929 1.338897479464829 0.1993025319892187 1.771313865102881 0.03295936014156383 2.2661265465153115 0.7826315212737218 25.12404827586531 20.43568609809289
4 269 177.219153881073 164.29024428779638 2.953605539165356 0.5384514519723724 8.459105728580818 0.18427598623732078 2.5000584744135685 1.995410610172091 19.2664341839374 19.675143289575814
5 269 233.7625298500061 199.4499215517095 3.5785305536342684 0.6089837807135939 12.600789760010644 0.3601507571516183 3.6873826196255957 2.211569278456362 21.512357613137734 24.163896310141055
6 269 164.08148908615112 153.46329728056855 3.4354006518840947 0.682602119672517 9.930403908748593 0.46147782396308795 3.321493008804043 2.186505342031029 9.060628990220541 7.529119316342684
7 269 113.94584393501282 49.67410644935694 4.094306053668005 2.940279950423971 16.65063235920041 8.628374172479717 0.9189070021629623 1.0649653145556952 16.65008444257259 18.220401335079703
8 269 195.69676280021667 195.8131613682645 10.170596113931696 1.3487353407862313 97.09163558286973 0.9401068545232654 3.6513640650244983 4.654613782032356 13.018187962473629 10.0966489176534
9 269 180.2154438495636 199.6844698351651 3.0081425351460425 0.5478600685530853 7.856834827663175 0.14725129411885082 1.7900490417959523 1.371247639911491 23.94375909351319 19.23041144432439
10 269 346.73013830184937 199.145687789732 3.456258591473115 0.5988131443828077 10.238301698540221 0.1460374923762114 1.3014137980613334 0.8593803225647282 25.18636508513696 20.399054374381464
11 269 126.02545094490051 200.0 2.5637625029248 0.360347279952249 6.572878171403236 0.11500516322288133 0.42485474335532886 0.7666487674956783 24.50344237113606 16.13102025706549
12 269 171.37563800811768 198.87415591581785 7.9666120158914335 0.658791286496241 63.46690701174577 0.38654004646699147 1.400529251415577 0.6198646960904437 10.570222538597973 7.983947337117287
13 269 90.1901319026947 199.44555453317082 13.299760008676136 0.7594705639688799 176.8836162883811 0.5737555166918316 2.4964894153409642 1.7457582705275134 15.410603294651732 12.463182590595448
14 269 137.47735571861267 32.34009567684424 1.3138529398884622 0.7604138549536027 1.5615818541362911 0.5641922748917148 2.0316169735002 1.0025339591010156 11.242207087187314 6.762550844507831
15 269 118.62042880058289 108.97447265378406 10.088398386715419 3.144193469872995 94.18004001828385 8.382859193852878 0.6189094979163893 1.082542268438321 9.160716310815152 11.10144337233065
16 269 199.15326380729675 94.54072013043464 8.627571974464177 5.8797503593587965 66.13603969856524 29.11266237982569 5.301959838617173 4.088790497260426 13.875267426468906 8.416972854459218
17 269 167.0400631427765 115.45895697060784 8.850210891656081 3.8995349732471394 78.3130845221127 15.159371465127057 3.4997362226814452 4.121627584569046 13.33103639726794 11.032250221937565
18 269 176.85013794898987 199.68484609188604 5.7813097443670625 1.0914763421446414 32.38765359192303 0.7199628011301242 0.6994693341665528 0.5897844284689284 23.00142480401892 18.548575816032088
19 269 183.68296074867249 97.62720959610115 11.920628786417 2.6443563565734207 141.70061737561252 6.981671433678475 1.7885366385206487 1.1668641930168633 9.91383604112657 5.783398177633433
