Dataset Length Time sMAPE Euclidean diff_Euclidean DTW diff_DTW DTW_reconstructed diff_DTW_reconstructed Euclidean_reconstructed diff_Euclidean_reconstructed
0 269 60.37606191635132 171.16949289263846 8.100930377610315 1.927077517759543 57.32895205557789 1.6667413787059486 4.1962324638594675 2.262488068098925 17.92793102273937 19.86454997038435
1 269 123.59335517883301 103.26777139577585 10.065763225312761 3.19956366416301 64.61860092982349 6.957791822591443 2.3074634464133257 2.7986057831671722 12.627026730468401 7.583228783008017
2 269 58.518211126327515 146.16501958250907 10.062664111819753 3.8302517946345773 85.12184627918701 5.698511411802148 2.8345108211658703 1.855823707811704 20.0094113491776 12.404311854397518
3 269 34.212032079696655 174.11401211023087 2.327789985478392 0.2246596925439515 5.351419787581366 0.02546260596329909 2.2661265465153115 0.7826315212737218 25.12404827586531 20.43568609809289
4 269 56.526005029678345 127.49961024023938 2.6542023322160664 0.7175464344505723 6.143680127352278 0.18734509180184858 2.5000584744135685 1.995410610172091 19.2664341839374 19.675143289575814
5 269 48.47382092475891 42.04294617514162 1.555895686999672 1.509337539423183 1.4360445341379948 0.945313695482827 3.6873826196255957 2.211569278456362 21.512357613137734 24.163896310141055
6 269 58.949063301086426 31.662074836343738 1.2170230924659449 1.1139955688140326 0.7987521160150565 0.37116408605080176 3.321493008804043 2.186505342031029 9.060628990220541 7.529119316342684
7 269 33.08811688423157 103.67215406465854 5.256102222616666 3.636536728235728 6.6273950379470286 4.126030316623509 0.9189070021629623 1.0649653145556952 16.65008444257259 18.220401335079703
8 269 75.03013920783997 105.31123316070708 4.7598021287897545 2.954585197402346 5.911568601017465 4.47263046234006 3.6513640650244983 4.654613782032356 13.018187962473629 10.0966489176534
9 269 71.19610095024109 55.206854677333624 1.4296075758577291 0.7229802059443523 1.4990357267763141 0.14703300670018257 1.7900490417959523 1.371247639911491 23.94375909351319 19.23041144432439
10 269 68.8304090499878 104.07489919913326 15.514650883937241 13.413414006062567 231.58722016483912 173.91900230895482 1.3014137980613334 0.8593803225647282 25.18636508513696 20.399054374381464
11 269 34.991148948669434 155.47067975667622 2.749655663390548 0.4654028345482852 7.382654796828266 0.10454645052671907 0.42485474335532886 0.7666487674956783 24.50344237113606 16.13102025706549
12 269 62.44487714767456 119.53716580079777 8.358719845620882 2.8380437484135608 48.048410413109565 6.5821922966517095 1.400529251415577 0.6198646960904437 10.570222538597973 7.983947337117287
13 269 49.94735789299011 158.64588199263835 9.893639426232552 6.765554234421245 66.71629041227175 39.14468188531317 2.4964894153409642 1.7457582705275134 15.410603294651732 12.463182590595448
14 269 44.738219022750854 174.330247996892 13.954525403160085 4.2307791068038725 113.51913562462019 13.549150120400661 2.0316169735002 1.0025339591010156 11.242207087187314 6.762550844507831
15 269 35.468477964401245 120.39231882880568 12.175368399720888 7.39204468032052 42.273862806976766 23.184765942414664 0.6189094979163893 1.082542268438321 9.160716310815152 11.10144337233065
16 269 95.01903700828552 184.90920749906113 12.242799485799102 6.225705086433684 36.15744181296352 19.965574887568664 5.301959838617173 4.088790497260426 13.875267426468906 8.416972854459218
17 269 31.278661012649536 119.20041131657763 7.417341887468614 5.7297945525096585 27.53067416063977 15.841803494520756 3.4997362226814452 4.121627584569046 13.33103639726794 11.032250221937565
18 269 24.35279679298401 126.03701471013441 4.75286024628763 0.5128980799516523 12.123261122779558 0.11903115059458941 0.6994693341665528 0.5897844284689284 23.00142480401892 18.548575816032088
19 269 50.28391075134277 115.02967370476676 21.995557367591015 3.7694310109107056 452.2853648724724 5.462765225347821 1.7885366385206487 1.1668641930168633 9.91383604112657 5.783398177633433
